,Accepted Symbol,Synonym Symbol,Scientific Name,Invasive,C:N Ratio,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Leaf Retention,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,"Frost Free Days, Minimum",Moisture Use,pH (Minimum),pH (Maximum),Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Palatable Browse Animal,Sheffields Aval
137,BOFR,,Borrichia frutescens,,Medium,Rapid,,2.6,No,None,Yes,Yes,200.0,Medium,6.1,7.5,28.0,60.0,14.0,Intolerant,17.0,Routinely Available,Yes,Medium,False
138,BOBA3,,Bothriochloa barbinodis,,Medium,Rapid,,4.0,No,None,Yes,Yes,180.0,Medium,7.0,8.2,12.0,20.0,10.0,Intolerant,2.0,Routinely Available,Yes,Low,False
139,BOBL,,Bothriochloa bladhii,,Medium,Rapid,,3.0,No,None,No,Yes,150.0,Medium,5.0,8.0,20.0,50.0,18.0,Intolerant,-23.0,Routinely Available,Yes,Low,False
140,BOISI,,Bothriochloa ischaemum var. ischaemum,,Medium,Rapid,,2.0,No,None,No,Yes,160.0,Medium,5.0,8.5,16.0,30.0,12.0,Intolerant,-3.0,Routinely Available,Yes,High,False
141,BOPE2,,Bothriochloa pertusa,,Medium,Rapid,,3.0,Yes,None,Yes,Yes,365.0,Low,5.0,7.5,20.0,80.0,12.0,Intolerant,17.0,Routinely Available,Yes,High,False
142,BOCU,,Bouteloua curtipendula,,Medium,Moderate,,3.0,No,None,Yes,Yes,90.0,Medium,5.5,8.5,6.0,25.0,12.0,Intolerant,-43.0,Routinely Available,Yes,Medium,True
143,BODA2,,Bouteloua dactyloides,,,,,,,,,,,,,,,,,,,,,,False
144,BODA2,BUDA,Buchloe dactyloides,SWSS,Medium,Moderate,,0.5,No,None,No,Yes,145.0,Medium,6.5,8.0,7.0,32.0,12.0,Intolerant,-38.0,Routinely Available,Yes,Medium,False
145,BOER4,,Bouteloua eriopoda,,Medium,Moderate,,2.0,No,None,Yes,Yes,155.0,Low,7.0,8.7,7.0,19.0,12.0,Intolerant,-23.0,Routinely Available,Yes,High,False
146,BOGR2,,Bouteloua gracilis,,Medium,Rapid,,1.0,No,None,Yes,Yes,142.0,Medium,6.6,8.4,8.0,22.0,16.0,Intolerant,-43.0,Routinely Available,Yes,High,False
147,BRRA,,Brassica rapa,"SWSS, WSWS",Medium,Rapid,,3.0,No,None,Yes,Yes,125.0,High,5.0,8.0,35.0,55.0,12.0,Intermediate,-13.0,Routinely Available,Yes,High,True
148,BRPI4,,Bromelia pinguin,,Medium,Moderate,,4.0,No,None,Yes,Yes,360.0,Low,4.5,6.5,33.0,79.0,12.0,Tolerant,28.0,Routinely Available,Yes,Medium,False
149,BRCA5,,Bromus carinatus,WSWS,Low,Rapid,,4.0,No,None,Yes,Yes,150.0,Low,5.5,8.0,8.0,20.0,8.0,Intolerant,17.0,Routinely Available,Yes,High,False
150,BRCA6,,Bromus catharticus,"SEEPPC, SWSS, WSWS",Low,Rapid,,3.0,No,None,Yes,Yes,80.0,High,5.5,8.0,18.0,28.0,12.0,Intolerant,7.0,Routinely Available,Yes,Low,False
151,BRCI2,,Bromus ciliatus,,Medium,Moderate,,4.0,No,None,Yes,No,175.0,Medium,5.5,7.5,12.0,40.0,16.0,Tolerant,-3.0,Routinely Available,Yes,Medium,False
152,BRHOH,,Bromus hordeaceus ssp. hordeaceus,,Low,Rapid,,2.0,No,None,Yes,Yes,90.0,Medium,5.5,8.0,12.0,20.0,10.0,Intermediate,17.0,Routinely Available,Yes,High,False
153,BRIN2,,Bromus inermis,"NE&GP, SEEPPC, WI",Medium,Moderate,,2.5,No,None,No,Yes,90.0,Medium,5.5,8.0,18.0,60.0,12.0,Intolerant,-43.0,Routinely Available,Yes,Medium,False
154,BRMA4,,Bromus marginatus,,Medium,Rapid,,4.0,No,None,Yes,Yes,150.0,High,5.5,8.0,10.0,20.0,20.0,Intolerant,-28.0,Routinely Available,Yes,Medium,False
155,BRRU2,,Bromus rubens,Cal-IPC,Medium,Rapid,,1.3,No,None,Yes,Yes,65.0,Low,6.0,8.2,5.0,16.0,8.0,Intolerant,22.0,Routinely Available,Yes,Low,False
156,BUBU,,Bucida buceras,,,Rapid,75.0,50.0,Yes,None,Yes,Yes,365.0,,4.0,8.0,50.0,200.0,36.0,Tolerant,32.0,Routinely Available,Yes,Low,False
157,CACA,,Cabomba caroliniana,STATE,,Rapid,,,No,None,Yes,Yes,140.0,High,5.7,9.2,40.0,60.0,12.0,Intermediate,-23.0,Routinely Available,Yes,Medium,False
158,CACA27,,Cajanus cajan,,Medium,Moderate,10.0,10.0,Yes,Medium,Yes,Yes,365.0,Low,5.0,8.3,25.0,150.0,16.0,Intermediate,31.0,Routinely Available,Yes,High,False
159,CACA4,,Calamagrostis canadensis,,,Moderate,,4.9,No,None,No,Yes,102.0,Medium,4.5,8.0,14.0,65.0,16.0,Intolerant,-33.0,Routinely Available,Yes,Medium,True
160,CACO71,,Calamagrostis coarctata,,,Moderate,,4.9,No,None,No,Yes,110.0,Medium,4.0,7.0,35.0,65.0,6.0,Intolerant,-28.0,Routinely Available,Yes,,False
161,CARU,,Calamagrostis rubescens,,Medium,Slow,,3.0,No,None,No,Yes,100.0,Medium,5.5,8.0,16.0,26.0,7.0,Tolerant,-28.0,Routinely Available,Yes,High,False
162,CASTI3,,Calamagrostis stricta ssp. inexpansa,,Medium,Moderate,,3.0,No,None,No,Yes,90.0,High,5.5,8.0,26.0,60.0,7.0,Intermediate,-38.0,Routinely Available,Yes,Medium,False
163,CALO,,Calamovilfa longifolia,,Medium,Moderate,,4.5,No,None,Yes,Yes,135.0,Medium,5.6,8.4,12.0,22.0,20.0,Intolerant,-38.0,Routinely Available,Yes,Medium,False
164,CAAM2,,Callicarpa americana,,High,Moderate,6.0,6.0,No,None,Yes,Yes,175.0,Low,4.8,7.0,35.0,60.0,14.0,Intermediate,-8.0,Routinely Available,Yes,High,True
165,CADE27,,Calocedrus decurrens,,High,Slow,12.0,100.0,Yes,None,Yes,Yes,100.0,Low,4.6,7.1,20.0,80.0,60.0,Intermediate,-25.0,Routinely Available,Yes,Low,True
166,CAAN22,,Calophyllum antillanum,FLEPPC,High,Slow,60.0,65.0,Yes,None,Yes,Yes,365.0,Low,5.0,7.0,39.0,197.0,40.0,Intermediate,36.0,Routinely Available,Yes,Low,False
167,CAIN4,,Calophyllum inophyllum,,Low,Slow,60.0,40.0,Yes,None,Yes,Yes,365.0,Medium,,,,,36.0,Intermediate,40.0,Routinely Available,Yes,Low,False
168,CALE4,,Caltha leptosepala,,Medium,Moderate,,1.0,No,None,Yes,Yes,80.0,High,6.6,8.2,16.0,40.0,8.0,Intolerant,-33.0,Routinely Available,Yes,Medium,False
169,CAPA5,,Caltha palustris,,High,Slow,,2.0,No,None,No,Yes,80.0,High,4.9,6.8,30.0,60.0,8.0,Intolerant,-38.0,Routinely Available,Yes,,False
170,CAQU2,,Camassia quamash,,Medium,Moderate,,2.3,No,None,Yes,Yes,110.0,High,5.7,7.0,16.0,55.0,10.0,Tolerant,-28.0,Routinely Available,Yes,,False
171,CASC5,,Camassia scilloides,,Medium,Moderate,,2.5,No,None,No,Yes,100.0,Medium,4.2,6.5,30.0,55.0,10.0,Tolerant,-28.0,Routinely Available,Yes,,False
172,CARA2,,Campsis radicans,"KY, N'EAST, SWSS",High,Rapid,,2.0,No,None,Yes,Yes,165.0,Low,4.9,6.8,32.0,60.0,14.0,Intolerant,-13.0,Routinely Available,Yes,,True
173,CAWI,,Canella winterana,,,,49.0,33.0,Yes,None,Yes,No,365.0,,,,,,36.0,,40.0,Routinely Available,Yes,Low,False
174,CAAR18,,Caragana arborescens,,Medium,Rapid,12.0,12.0,No,Medium,Yes,Yes,150.0,Medium,5.0,8.5,12.0,55.0,16.0,Intermediate,-38.0,Routinely Available,Yes,Low,True
175,CAAB5,,Carex abscondita,,Medium,Slow,,0.7,No,None,No,Yes,165.0,High,4.8,6.8,36.0,55.0,6.0,Tolerant,-3.0,Routinely Available,Yes,Low,False
176,CAAL5,,Carex albolutescens,,,Moderate,,3.9,No,None,No,Yes,120.0,Medium,4.3,7.8,16.0,65.0,16.0,Intermediate,-38.0,Routinely Available,Yes,,False
177,CAAP3,,Carex aperta,,High,Moderate,,2.0,No,None,No,Yes,60.0,High,5.5,7.0,24.0,60.0,14.0,Intolerant,-18.0,Routinely Available,Yes,Medium,False
178,CAAQ,,Carex aquatilis,,,Moderate,,2.9,No,None,No,Yes,120.0,High,4.0,7.5,15.0,65.0,14.0,Intolerant,-38.0,Routinely Available,Yes,,False
179,CAAT2,,Carex atherodes,,Medium,Moderate,,5.0,No,None,No,Yes,85.0,High,4.5,7.2,12.0,60.0,8.0,Intolerant,-38.0,Routinely Available,Yes,Low,False
180,CAAT3,,Carex athrostachya,,Medium,Slow,,2.0,No,None,Yes,Yes,85.0,High,5.8,7.2,14.0,40.0,8.0,Intermediate,-33.0,Routinely Available,Yes,High,False
181,CAAT4,,Carex atlantica,,Medium,Moderate,,1.8,No,None,No,Yes,130.0,High,4.5,6.0,40.0,55.0,12.0,Intermediate,-18.0,Routinely Available,Yes,Low,False
182,CAAU3,,Carex aurea,,Medium,Slow,,1.2,No,None,Yes,Yes,85.0,High,5.5,7.2,14.0,40.0,8.0,Intermediate,-33.0,Routinely Available,Yes,Low,False
183,CABE2,,Carex bebbii,,Medium,Moderate,,3.0,No,None,No,Yes,80.0,High,4.6,7.0,14.0,55.0,8.0,Tolerant,-38.0,Routinely Available,Yes,Low,False
184,CABI3,,Carex bicknellii,,Medium,Moderate,,3.4,No,None,Yes,Yes,85.0,Low,4.5,6.6,14.0,55.0,8.0,Tolerant,-38.0,Routinely Available,Yes,Low,False
185,CABL,,Carex blanda,,Medium,Slow,,2.0,No,None,No,Yes,95.0,High,4.4,7.0,36.0,60.0,8.0,Tolerant,-28.0,Routinely Available,Yes,Low,False
186,CACA11,,Carex canescens,,Medium,Slow,,2.0,No,None,Yes,Yes,85.0,High,5.1,7.2,14.0,40.0,8.0,Intermediate,-33.0,Routinely Available,Yes,Low,False
187,CACE,,Carex cephalophora,,Medium,Moderate,,2.6,No,None,Yes,Yes,90.0,Low,4.8,7.0,36.0,55.0,8.0,Intermediate,-33.0,Routinely Available,Yes,Low,False
188,CACO8,,Carex comosa,,Medium,Slow,,5.0,No,None,No,Yes,90.0,High,4.6,7.5,14.0,55.0,8.0,Intermediate,-28.0,Routinely Available,Yes,Low,False
189,CACR6,,Carex crinita,,,Moderate,,5.2,No,None,No,Yes,144.0,Medium,4.0,7.5,36.0,65.0,18.0,Intermediate,-33.0,Routinely Available,Yes,,False
190,CACR7,,Carex cristatella,,Medium,Moderate,,3.0,No,None,No,Yes,85.0,High,4.9,6.8,32.0,55.0,8.0,Tolerant,-33.0,Routinely Available,Yes,Low,False
191,CACR8,,Carex crus-corvi,,,Moderate,,3.0,No,None,No,Yes,125.0,Medium,3.5,7.0,35.0,60.0,16.0,Intermediate,-28.0,Routinely Available,Yes,,False
192,CADE5,,Carex debilis,,Medium,Moderate,,3.0,No,None,Yes,Yes,180.0,High,4.6,6.6,36.0,55.0,8.0,Tolerant,-13.0,Routinely Available,Yes,Low,False
193,CADI6,,Carex disperma,,Low,Moderate,,2.0,No,None,No,Yes,80.0,High,4.5,6.5,14.0,55.0,8.0,Intermediate,-38.0,Routinely Available,Yes,Medium,False
194,CAFL3,,Carex flaccosperma,,Medium,Slow,,1.0,No,None,No,Yes,175.0,High,4.6,7.1,36.0,55.0,8.0,Tolerant,-8.0,Routinely Available,Yes,Low,False
195,CAFR3,,Carex frankii,,Medium,Slow,,2.0,No,None,No,Yes,140.0,High,5.9,7.2,18.0,55.0,9.0,Tolerant,-23.0,Routinely Available,Yes,Low,False
196,CAGR2,,Carex gracillima,,Medium,Slow,,3.0,No,None,No,Yes,85.0,Medium,4.7,6.9,36.0,55.0,8.0,Tolerant,-33.0,Routinely Available,Yes,Low,False
197,CAGR3,,Carex granularis,,Medium,Slow,,2.5,No,None,No,Yes,120.0,High,6.0,7.2,14.0,55.0,8.0,Tolerant,-33.0,Routinely Available,Yes,Low,False
198,CAGR5,,Carex grayi,,Medium,Slow,,3.0,No,None,No,Yes,85.0,High,5.7,7.2,36.0,55.0,8.0,Tolerant,-33.0,Routinely Available,Yes,Low,False
199,CAIN12,,Carex intumescens,,Medium,Moderate,,3.0,No,None,No,Yes,85.0,High,4.8,6.9,36.0,55.0,8.0,Tolerant,-33.0,Routinely Available,Yes,Low,False
200,CALA16,,Carex lacustris,,High,Rapid,,5.0,No,None,No,Yes,90.0,High,5.6,6.8,32.0,55.0,12.0,Tolerant,-28.0,Routinely Available,Yes,Low,False
201,CALU4,,Carex lupulina,,,Moderate,,4.3,No,None,No,Yes,107.0,Medium,6.2,7.0,26.0,65.0,18.0,Intermediate,-38.0,Routinely Available,Yes,,False
202,CALU5,,Carex lurida,,,Moderate,,3.2,No,None,Yes,Yes,120.0,Medium,4.9,6.8,20.0,65.0,16.0,Intermediate,-33.0,Routinely Available,Yes,,True
203,CAMI7,,Carex microptera,,Medium,Slow,,2.0,No,None,Yes,Yes,85.0,High,5.6,7.4,10.0,24.0,8.0,Intolerant,-33.0,Routinely Available,Yes,Low,False
204,CAMO11,,Carex molesta,,Medium,Slow,,3.0,No,None,Yes,Yes,85.0,Medium,4.9,7.0,24.0,55.0,10.0,Intolerant,-38.0,Routinely Available,Yes,Low,False
205,CAMU9,,Carex muskingumensis,,Medium,Slow,,3.0,No,None,No,Yes,85.0,High,4.7,6.9,36.0,60.0,8.0,Tolerant,-33.0,Routinely Available,Yes,Low,False
206,CANE2,,Carex nebrascensis,,Medium,Moderate,,3.0,No,None,Yes,Yes,85.0,High,5.7,7.4,14.0,32.0,10.0,Intolerant,-38.0,Routinely Available,Yes,Medium,False
207,CANO,,Carex normalis,,High,Rapid,,5.0,No,None,No,Yes,85.0,High,4.7,6.7,32.0,55.0,12.0,Tolerant,-33.0,Routinely Available,Yes,Low,False
208,CAOB3,,Carex obnupta,,High,Rapid,,3.0,No,None,No,Yes,60.0,High,5.5,7.0,40.0,65.0,12.0,Intermediate,-3.0,Routinely Available,Yes,Medium,False
209,CAPR5,,Carex praegracilis,,Medium,Moderate,,2.0,No,None,Yes,Yes,80.0,Medium,5.3,6.8,10.0,24.0,10.0,Intermediate,-38.0,Routinely Available,Yes,Low,False
210,CAPR12,,Carex prasina,,Medium,Moderate,,2.3,No,None,No,Yes,95.0,Medium,4.8,6.8,34.0,55.0,8.0,Tolerant,-28.0,Routinely Available,Yes,Low,False
211,CAPR9,,Carex projecta,,Medium,Slow,,2.0,No,None,No,Yes,80.0,Medium,4.8,7.0,32.0,55.0,8.0,Tolerant,-33.0,Routinely Available,Yes,Low,False
212,CARO6,,Carex rostrata,,Medium,Moderate,,3.5,No,None,No,Yes,80.0,High,4.5,7.0,10.0,40.0,16.0,Tolerant,-38.0,Routinely Available,Yes,Low,False
213,CASC11,,Carex scoparia,,Medium,Moderate,,2.5,No,None,No,Yes,85.0,High,4.6,6.9,20.0,55.0,8.0,Tolerant,-38.0,Routinely Available,Yes,Low,False
214,CASC12,,Carex scopulorum,,Medium,Moderate,,1.3,No,None,Yes,Yes,80.0,High,6.8,7.5,8.0,20.0,8.0,Intermediate,-38.0,Routinely Available,Yes,Low,False
215,CASH2,,Carex shortiana,,Medium,Moderate,,3.0,No,None,No,Yes,145.0,High,4.7,6.9,32.0,55.0,8.0,Intermediate,-18.0,Routinely Available,Yes,Low,False
216,CASI2,,Carex simulata,,Medium,Slow,,1.5,No,None,Yes,Yes,85.0,High,6.0,7.5,8.0,24.0,10.0,Intermediate,-38.0,Routinely Available,Yes,Low,False
217,CASQ2,,Carex squarrosa,,Medium,Slow,,3.0,No,None,No,Yes,110.0,Medium,5.6,7.3,34.0,55.0,8.0,Tolerant,-28.0,Routinely Available,Yes,Low,False
218,CAST5,,Carex stipata,,Medium,Slow,,3.5,No,None,No,Yes,80.0,Medium,4.9,7.9,12.0,50.0,8.0,Tolerant,-38.0,Routinely Available,Yes,Medium,False
219,CAST8,,Carex stricta,,,Moderate,,4.2,No,None,Yes,Yes,110.0,Medium,3.5,7.0,32.0,65.0,18.0,Tolerant,-38.0,Routinely Available,Yes,,False
220,CATO4,,Carex torta,,Medium,Slow,,2.8,No,None,Yes,Yes,90.0,Medium,5.0,7.0,32.0,50.0,8.0,Tolerant,-33.0,Routinely Available,Yes,Low,False
221,CATR7,,Carex tribuloides,,Medium,Slow,,3.0,No,None,No,Yes,85.0,Medium,4.8,7.0,32.0,50.0,8.0,Tolerant,-28.0,Routinely Available,Yes,Low,False
222,CATR8,,Carex trichocarpa,,High,Rapid,,3.5,No,None,No,Yes,85.0,High,5.7,7.0,18.0,55.0,10.0,Intermediate,-33.0,Routinely Available,Yes,Low,False
223,CATY,,Carex typhina,,Medium,Moderate,,2.0,No,None,No,Yes,90.0,High,5.7,7.0,32.0,55.0,8.0,Tolerant,-28.0,Routinely Available,Yes,Low,False
224,CAVE6,,Carex vesicaria,,Medium,Moderate,,3.0,No,None,Yes,Yes,80.0,High,4.5,7.5,8.0,40.0,16.0,Intermediate,-38.0,Routinely Available,Yes,Low,False
225,CAVI5,,Carex viridula,,Medium,Moderate,,1.5,No,None,No,Yes,80.0,High,4.5,7.5,8.0,40.0,10.0,Intolerant,-38.0,Routinely Available,Yes,Low,False
226,CAVU2,,Carex vulpinoidea,,,Moderate,,3.2,No,None,No,Yes,110.0,Medium,6.8,8.9,12.0,65.0,16.0,Intermediate,-38.0,Routinely Available,Yes,,True
227,CAPA23,,Carica papaya,,High,Rapid,,20.0,Yes,None,No,Yes,365.0,High,5.0,8.0,60.0,80.0,40.0,Intolerant,32.0,Routinely Available,Yes,,False
228,CAPA53,,Carphephorus paniculatus,,Medium,Rapid,,3.0,No,None,No,Yes,110.0,Low,5.8,7.0,30.0,60.0,12.0,Tolerant,7.0,Routinely Available,Yes,Low,False
229,CACA18,,Carpinus caroliniana,,High,Slow,18.0,30.0,No,None,Yes,Yes,80.0,Medium,4.0,7.4,23.0,80.0,20.0,Tolerant,-34.0,Routinely Available,Yes,Low,True
230,CAAQ2,,Carya aquatica,,High,Slow,30.0,85.0,No,None,Yes,Yes,200.0,Medium,4.0,7.3,35.0,70.0,48.0,Intermediate,-18.0,Routinely Available,Yes,Low,True
231,CACO15,,Carya cordiformis,,High,Slow,30.0,75.0,No,None,Yes,Yes,120.0,Medium,4.8,7.4,25.0,70.0,50.0,Intolerant,-47.0,Routinely Available,Yes,Low,True
232,CAIL2,,Carya illinoinensis,,High,Slow,35.0,120.0,No,None,Yes,Yes,180.0,High,4.5,7.5,28.0,79.0,32.0,Intolerant,-21.0,Routinely Available,Yes,Low,True
233,CALA21,,Carya laciniosa,,High,Slow,35.0,100.0,No,None,Yes,Yes,150.0,High,5.0,6.6,30.0,60.0,60.0,Tolerant,-22.0,Routinely Available,Yes,Low,False
234,CAMY,,Carya myristiciformis,,High,Slow,30.0,95.0,No,None,No,Yes,240.0,Medium,4.7,6.5,40.0,60.0,48.0,Intolerant,-10.0,Routinely Available,Yes,Low,False
235,CAOV2,,Carya ovata,,High,Slow,15.0,75.0,No,None,Yes,Yes,140.0,Medium,4.0,7.3,29.0,80.0,48.0,Intermediate,-40.0,Routinely Available,Yes,Low,True
236,CAMO83,,Castanea mollissima,,,Rapid,25.0,50.0,No,None,Yes,Yes,180.0,Medium,5.0,7.5,35.0,50.0,36.0,Intolerant,-20.0,Routinely Available,Yes,Low,True
237,CACO17,,Castilleja coccinea,,Low,Rapid,,1.6,No,None,No,Yes,75.0,Medium,4.9,6.8,25.0,55.0,8.0,Tolerant,-28.0,Routinely Available,Yes,,False
238,CASE5,,Castilleja sessiliflora,,Medium,Moderate,,1.3,No,None,Yes,Yes,120.0,Low,6.0,7.4,16.0,32.0,10.0,Intolerant,-38.0,Routinely Available,Yes,,False
239,CACU8,,Casuarina cunninghamiana,,High,Rapid,50.0,100.0,Yes,Low,Yes,Yes,300.0,Medium,6.5,7.9,25.0,60.0,24.0,Intolerant,22.0,Routinely Available,Yes,,True
240,CAEQ,,Casuarina equisetifolia,"FLEPPC, HEAR",High,Rapid,50.0,100.0,Yes,Low,Yes,Yes,300.0,Medium,6.2,8.8,25.0,60.0,24.0,Intolerant,22.0,Routinely Available,Yes,,True
241,CAGL11,,Casuarina glauca,"FLEPPC, HEAR",High,Rapid,40.0,60.0,Yes,Low,Yes,Yes,280.0,Medium,6.5,7.5,25.0,60.0,24.0,Intolerant,17.0,Routinely Available,Yes,,False
242,CABI8,,Catalpa bignonioides,,,Rapid,66.0,66.0,No,None,Yes,Yes,140.0,Low,5.5,7.5,30.0,65.0,36.0,Intermediate,-18.0,Routinely Available,Yes,Medium,True
243,CASP8,,Catalpa speciosa,,High,Rapid,20.0,60.0,No,Low,Yes,Yes,90.0,Low,5.5,7.0,20.0,80.0,20.0,Intolerant,-38.0,Routinely Available,Yes,Low,False
244,CEAM,,Ceanothus americanus,,High,Slow,3.0,3.0,No,Low,Yes,Yes,120.0,Low,4.3,6.5,25.0,60.0,14.0,Tolerant,-28.0,Routinely Available,Yes,Medium,True
245,CECO,,Ceanothus cordulatus,,Low,Slow,4.0,8.0,No,Low,Yes,Yes,90.0,Low,7.0,8.5,16.0,46.0,20.0,Intolerant,-23.0,Routinely Available,Yes,High,False
246,CEPR,,Ceanothus prostratus,,High,Slow,,0.5,Yes,Low,Yes,Yes,120.0,Low,7.1,8.5,16.0,40.0,14.0,Tolerant,-23.0,Routinely Available,Yes,Low,False
247,CEDE2,,Cedrus deodara,,High,Rapid,35.0,60.0,Yes,None,Yes,Yes,160.0,Low,6.0,7.5,20.0,80.0,20.0,Tolerant,-15.0,Routinely Available,Yes,Medium,True
248,CEOR7,,Celastrus orbiculatus,"N'EAST, SEEPPC, STATE, WI",High,Rapid,30.0,30.0,No,None,Yes,Yes,100.0,High,5.0,7.5,30.0,60.0,18.0,Tolerant,-38.0,Routinely Available,Yes,Low,False
249,CESC,,Celastrus scandens,,High,Rapid,,15.0,No,None,Yes,Yes,110.0,High,5.0,7.5,30.0,60.0,18.0,Tolerant,-38.0,Routinely Available,Yes,Low,True
250,CELA,,Celtis laevigata,,High,Moderate,35.0,80.0,No,None,No,Yes,150.0,High,4.4,7.7,20.0,80.0,24.0,Tolerant,-21.0,Routinely Available,Yes,Low,True
251,CELAR,,Celtis laevigata var. reticulata,,High,Rapid,8.0,20.0,No,None,Yes,Yes,150.0,Low,5.9,8.3,7.0,55.0,12.0,Intolerant,-42.0,Routinely Available,Yes,Medium,False
252,CEOC,,Celtis occidentalis,,High,Rapid,26.0,60.0,No,None,Yes,Yes,120.0,Low,6.0,7.8,14.0,60.0,36.0,Tolerant,-47.0,Routinely Available,Yes,Medium,False
253,CEOC2,,Cephalanthus occidentalis,,Medium,Moderate,15.0,15.0,No,None,Yes,Yes,150.0,High,4.7,8.6,20.0,80.0,14.0,Tolerant,-33.0,Routinely Available,Yes,Low,True
254,CEDE4,,Ceratophyllum demersum,,,Rapid,,,No,None,Yes,Yes,110.0,High,6.0,8.6,10.0,55.0,0.0,Intermediate,-38.0,Routinely Available,Yes,,False
255,CECA4,,Cercis canadensis,,Medium,Slow,25.0,30.0,No,None,No,Yes,170.0,Low,5.0,7.9,20.0,80.0,24.0,Tolerant,-28.0,Routinely Available,Yes,Medium,True
256,CECAT,,Cercis canadensis var. texensis,,High,Rapid,12.0,12.0,No,None,No,Yes,180.0,Low,6.0,8.0,16.0,80.0,20.0,Tolerant,-8.0,Routinely Available,Yes,Medium,False
257,CELE3,,Cercocarpus ledifolius,,Medium,Moderate,20.0,20.0,No,Low,Yes,Yes,90.0,Low,5.5,8.7,10.0,45.0,20.0,Intermediate,-47.0,Routinely Available,Yes,High,True
258,CEMO2,,Cercocarpus montanus,,Medium,Slow,15.0,15.0,No,Low,Yes,Yes,90.0,Low,6.0,8.0,9.0,80.0,20.0,Intermediate,-41.0,Routinely Available,Yes,High,True
259,CHFA2,,Chamaecrista fasciculata,,Low,Rapid,,2.4,No,Medium,Yes,Yes,130.0,Medium,5.5,7.5,14.0,45.0,14.0,Tolerant,-3.0,Routinely Available,Yes,High,False
260,CHLA,,Chamaecyparis lawsoniana,,High,Moderate,40.0,200.0,Yes,None,Yes,Yes,173.0,Medium,4.2,7.5,49.0,110.0,60.0,Tolerant,-12.0,Routinely Available,Yes,Low,True
261,CHTH2,,Chamaecyparis thyoides,,High,Moderate,20.0,50.0,Yes,None,Yes,Yes,140.0,Low,3.5,6.3,40.0,70.0,16.0,Intermediate,-36.0,Routinely Available,Yes,High,True
262,CHCA2,,Chamaedaphne calyculata,,Medium,Moderate,4.0,4.0,Yes,None,Yes,Yes,110.0,High,5.0,6.0,35.0,70.0,8.0,Intermediate,-28.0,Routinely Available,Yes,Medium,False
263,CHLA5,,Chasmanthium latifolium,,,Moderate,,4.6,No,None,Yes,Yes,160.0,Medium,5.0,7.0,24.0,65.0,10.0,Tolerant,-33.0,Routinely Available,Yes,High,True
264,CHLA6,,Chasmanthium laxum,,,Moderate,,3.3,No,None,Yes,Yes,160.0,Medium,4.5,7.0,35.0,60.0,10.0,Tolerant,-33.0,Routinely Available,Yes,High,False
265,CHLI2,,Chilopsis linearis,,Medium,Rapid,15.0,25.0,No,None,Yes,No,150.0,Low,6.6,10.0,4.0,37.0,12.0,Intermediate,-23.0,Routinely Available,Yes,Low,True
266,CHGA2,,Chloris gayana,,Medium,Moderate,,3.0,No,None,No,Yes,180.0,Low,5.0,7.0,30.0,60.0,6.0,Intolerant,-8.0,Routinely Available,Yes,Medium,False
267,CHVI8,,Chrysothamnus viscidiflorus,WSWS,High,Moderate,3.0,3.0,No,None,Yes,Yes,160.0,Low,7.0,8.5,7.0,24.0,14.0,Intolerant,-23.0,Routinely Available,Yes,Low,False
268,CICH,,Cibotium chamissoi,,High,Slow,23.0,10.0,Yes,None,No,No,365.0,Medium,6.5,7.5,30.0,90.0,12.0,Intermediate,40.0,Routinely Available,No,Low,False
269,CIGL,,Cibotium glaucum,,High,Slow,12.0,8.0,Yes,None,No,No,365.0,Medium,6.5,7.5,30.0,90.0,12.0,Intermediate,40.0,Routinely Available,No,Low,False
270,CIIN,,Cichorium intybus,"KY, N'EAST, NE&GP, SEEPPC, STATE, SWSS, WSWS",Medium,Rapid,,2.0,No,None,Yes,Yes,90.0,High,6.0,7.5,20.0,60.0,8.0,Intolerant,-43.0,Routinely Available,Yes,Low,True
271,CIAR2,,Cinna arundinacea,,High,Moderate,,4.9,No,None,Yes,Yes,130.0,Low,4.0,8.5,18.0,60.0,16.0,Tolerant,-33.0,Routinely Available,Yes,,False
272,CIPA3,,Citrus ×paradisi,,High,Moderate,20.0,20.0,Yes,None,No,Yes,365.0,Medium,4.0,7.5,40.0,100.0,60.0,Intermediate,31.0,Routinely Available,Yes,,False
273,CISI3,,Citrus ×sinensis,,,,,,,,,,,,,,,,,,,,,,False
274,CISI3,CISI,Citrus sinensis,,High,Moderate,30.0,30.0,Yes,None,Yes,Yes,365.0,Medium,5.0,7.0,60.0,100.0,60.0,Intermediate,17.0,Routinely Available,Yes,Low,False
275,CLMAJ,,Cladium mariscus ssp. jamaicense,,Medium,Moderate,,8.2,No,None,Yes,Yes,200.0,Medium,4.5,8.6,35.0,60.0,16.0,Intolerant,12.0,Routinely Available,Yes,,False
276,CLKE,,Cladrastis kentukea,,High,Moderate,25.0,40.0,No,None,Yes,Yes,180.0,Low,4.8,7.5,36.0,55.0,24.0,Intermediate,-32.0,Routinely Available,Yes,,False
